title,genre,description,director,cast
Akeli Ladki,Drama,"Anuradha Mehta lives a poor lifestyle in a small town in Southern India with her widowed father. She would like to study in the city but is unable to travel alone. When Vimal Raj, their ...See full summary»",I.V. Sasi,"['Surat Gupta', 'Jayaram', 'Balachandra Menon', 'Prathapachandran']"
Marana Simhasanam,Drama,A satire on political corruption and class injustices in Indian village culture.,Murali Nair,"['Vishwas Njavakkal', 'Lakshmi Raman', 'Suhas Thayat', 'Jeevan Mitva']"
Swastham Grihabaranam,"Comedy, Drama","Unni, a fishmonger, is the son of a reputed social worker. Soon, he faces a series of challenges as he gets into trouble with Moosa, the village thug.",Ramasimhan,"['Mukesh', 'Jagathy Sreekumar', 'Sukanya', 'Jagadish']"
Thachiledathu Chundan,"Drama, Thriller","Kochu Kunju decides to restore his village's honour by challenging their rivals to a boat race. He however, must face innumerable challenges in order to accomplish his mission.",Shajoon Karyal,"['Mammootty', 'Kousalya', 'Nedumudi Venu', 'Thilakan']"
My Dear Karady,Comedy,A bear escapes from a zoo and the zookeeper has to bring it back to save his job. So he disguises himself as a bear and ventures in search of it.,Sandhya Mohan,"['Kalabhavan Mani', 'Jagathy Sreekumar', 'Baiju', 'Captain Raju']"
American Ammayi,Comedy,"Sharada, a wealthy expatriate from the US, returns to India after many years. She hires Sugunan, a marriage broker, to find a worthy bride for her son, Devan.",G.K. Gauthaman,"['Prem Kumar', 'K.P.A.C. Lalitha', 'Chandni Shaju', 'Sindhu']"
Varnachirakukal,Drama,Add a Plot,Ganesh Kumar,"['Manikuttan', 'Poojappura Radhakrishnan', 'Poojappura Ravi']"
Varnatheru,null,Asha and Urmila are college mates who work for the welfare of of an orphanage. However Asha ends up in trouble when she uses the funds of the orphanage for the medicial treatment of Urmila's father.,Antony Eastman,"['Suresh Gopi', 'Mukesh', 'Urvashi']"
Mercara,null,Add a Plot,Jude Attippatti,"['Abhirami', 'Vishak Koshi']"
The Porter,null,Add a Plot,Padmakumar,"['Aby', 'Maathu', 'Kalabhavan Mani', 'Mini Arun']"
Pranaya Mazha,null,"Watch the full movie, Pranaya Mazha online, only on Eros Now. Pranaya Mazha is a 1999 Indian Malayalam film, directed by Nithin Kumar and produced by Adam Productions, starring Hemant Ravan...See full summary»",Nithin Kumar,"['Hemant Ravan', 'Dayana', 'Priya', 'Krishna Kumar']"
Tokyo Nagarathile Viseshangal,Comedy,Trouble erupts when thieves move into Tokyo Colony which leads to a series of events.,Jose Thomas,"['Mukesh', 'Vijayaraghavan', 'Jagathy Sreekumar', 'Maathu']"
Captain,null,Add a Plot,Nisar,"['Captain Raju', 'Vani Viswanath', 'Roopa Shree', 'Amerikan Achayan']"
Charlie Chaplin,Comedy,"Friends Surya and Chandran go in search of a job for their living. Surya becomes the bodyguard of a girl whose life is threatened by a criminal, who is none other than Chandran.",P.K. Radhakrishnan,"['Anju Aravind', 'Mala Aravindan', 'Harisree Ashokan', 'Elias Babu']"
Rushy Vamsam,null,Add a Plot,Rajiv Anchal,"['Chanchal', 'Madhupal', 'Narendra Prasad', 'Praveena']"
Jalamarmaram,Drama,Add a Plot,Rajeev Kumar,"['P. Balachandran', 'Gayathri', 'Anila Sreekumar', 'Aswin Thampy']"
Indulekha S.S. International,null,Add a Plot,Ajithkumar,"['Shaju K.S.', 'Anju', 'Indrans', 'Kanakalatha']"
Jananayakan,null,Add a Plot,Nisar,"['Babu Antony', 'Harisree Ashokan', 'Rajan P. Dev', 'Devan']"
Sparsam,null,"Watch the full movie, Sparsham online, only on Eros Now. Mahesh is arrested on charges of murdering his father, whose dead body washes ashore on the village's river bank. While his friends ...See full summary»",Mohanroop,"['Ponnamma Babu', 'Trichur Elsi', 'Meena Ganesh', 'Jagadish']"
Gandhiyan,null,"Watch the full movie, Gaandhiyan, only on Eros Now. Gaandhiyan is a 1999 Indian Malayalam film, directed by Thulasidas and produced by Safar. The film stars Thilakan, Srividya, Priya Raman ...See full summary»",Sharvi,"['Sphadikam George', 'M.R. Gopakumar', 'Indrans', 'Suvarna Mathew']"
Katha Nayika,null,Add a Plot,Manoj Babu,"['Lenin Anirudhan', 'Ramya Krishnan', 'Vijay Menon', 'Prathapachandran']"
Aayiram Meni,"Action, Drama",Add a Plot,I.V. Sasi,"['Manoj K. Jayan', 'Divyaa Unni', 'Urvashi', 'Lalu Alex']"
Oru Yatra,Drama,Add a Plot,Santosh Sivan,[]
Aathma Mela,null,Add a Plot,Saritha,[]
Devi I.P.S,null,Add a Plot,Itichakka Plamood Thulasi,[]
Punjabi House,"Comedy, Drama, Romance",A debt-ridden man tries to commit suicide by drowning in the sea but he is rescued by two fishermen and ultimately he ends up working for a Punjabi household.,Meccartin,"['Raffi', 'Dileep', 'Mohini', 'Lal', 'Cochin Hanifa']"
Kusruthi Kuruppu,"Comedy, Drama","Narendran is a rich man with very few friends who prefers to spend his time in isolation. However, this changes when he goes to a village and meets the eldest daughter of a local family.",Venugopan,"['Paravoor Bharathan', 'Indrans', 'Jayaram', 'K.P.A.C. Lalitha']"
The Truth,"Crime, Mystery, Thriller","Bharat, an IRS officer, heads a team to investigate the assassinated of a chief minister. With the help of IPS Meena Nambiar, he uncovers the shocking truth and exposes the mastermind.",Shaji Kailas,"['Aliyar', 'Augustine', 'Azeez', 'Bobby']"
Summer in Bethlehem,"Comedy, Drama","Ravishankar pretends to own the farmhouse of his friend Dennis when his relative, Col. Menon, pays a visit along with his granddaughters. Dennis and Ravishankar try to find Ravishankar's secret admirer among the girls.",Sibi Malayil,"['Mohanlal', 'Suresh Gopi', 'Jayaram', 'Manju Warrier']"
Harikrishnans,"Comedy, Crime, Mystery","Hari and Krishnan, a criminal lawyer duo, investigate the murder of Guptan.",Fazil,"['Mammootty', 'Mohanlal', 'Juhi Chawla', 'Innocent Vareed Thekkethala']"
Ayal Kadha Ezhuthukayanu,"Comedy, Drama, Romance","It tracks the travails of wasted pulp fiction writer Sagar Kottapuram and his friend Ramakrishnan, who are dragged into a lawsuit by a vengeful Tahsildar S.Priyadarshini.",Kamal,"['Mohanlal', 'Sreenivasan', 'Kousalya', 'Innocent Vareed Thekkethala']"
Chinthavishtayaya Shyamala,"Comedy, Drama","Story of a wife who has to deal with her lazy, immature and irresponsible husband.",Sreenivasan,"['Sangeetha', 'Thilakan', 'Innocent Vareed Thekkethala']"
Sreekrishnapurathe Nakshathrathilakkam,Comedy,"Three out of four brothers of a Malayali household are happily married while the fourth brother is engaged. When the beautiful Yamuna Rani becomes their new neighbor, she poses a threat to the wives.",Rajasenan,"['Innocent Vareed Thekkethala', 'Cochin Hanifa', 'Jagathy Sreekumar', 'K.P.A.C. Lalitha']"
Amma Ammayiamma,"Comedy, Drama","Prabhavathy, a poor girl, forgets her family relations after marrying a rich businessman, Shekharankutty. However, Shekharankutty decides to make her realize the importance of family relationships.",Sandhya Mohan,"['Mukesh', 'Sukanya', 'Harisree Ashokan', 'Kaviyoor Ponnamma']"
Daya,"Comedy, Drama, Fantasy","The film is set in the middle-East in the pre-Islam period. Daya, a very intelligent and brave slave girl tries to help the son of her master, after he loses all his wealth due to his lavish life.",Venu Isc,"['Manju Warrier', 'Nedumudi Venu', 'K.P.A.C. Lalitha', 'T.P. Madhavan']"
British Market,null,Add a Plot,Nisar,"['Vijayaraghavan', 'Ranjitha', 'Jagathy Sreekumar', 'Sudheesh']"
Oru Maravathoor Kanavu,"Comedy, Drama, Musical","Michael and his family buy a farm that is coveted by a rich man, who makes life hell for him. Thereafter, Michael's brother, Chandy, comes to support him.",Lal Jose,"['Mammootty', 'Biju Menon', 'Kalabhavan Mani', 'Divyaa Unni']"
Pranayavarnangal,Romance,"Aarathy is a shy girl, who is silent, day-dreamer and loves poetry whereas Maya is her roommate and best friend who is naughty and plays pranks on hostel mates. Victor loves Aarathy, but is...See full summary»",Sibi Malayil,"['K.G. George', 'Suresh Gopi', 'Irshad', 'Bobby Kottarakkara']"
Manjukalam Kazhinju,null,"Watch the full movie, Manjukalavum Kazhinju, only on Eros Now. Manjukalavum Kazhinju is a 1998 Indian Malayalam film, directed by Benni Saradhi and produced by Moncy B Pulikkottil, M. ...See full summary»",Benni Sarathi,"['Meena Ganesh', 'Manoj K. Jayan', 'Remadevi', 'Sudheesh']"
Kanmadam,Drama,"Responsible for the accidental death of a man he met on the streets of Mumbai, Vishwam returns to Kerala to give the news to the latter's debt- ridden family, but instead falls in love with his sister.",A.K. Lohithadas,"['Mohanlal', 'Manju Warrier', 'Lal', 'Mala Aravindan']"
Kottaram Veettile Apputtan,"Comedy, Drama, Romance","A local aristocrat takes a young girl under his wings and becomes her financial sponsor, and eventually falls in love with her.",Rajasenan,"['Jayaram', 'Shruti', 'Jagathy Sreekumar', 'Kalabhavan Mani']"
Sooryaputhran,Comedy,"When Jeevan is not allowed to adopt a boy from an orphanage for being a bachelor, he convinces a woman to pose as his wife.",Thulasidas,"['Jayaram', 'Divyaa Unni', 'Jagadish', 'Innocent Vareed Thekkethala']"
Mayajalam,Comedy,A rich man puts a matrimonial ad for his daughter which causes several people to show up at his house; whose lives intersect through through hilarious twists.,Balu Kiriyath,"['Mukesh', 'Jagathy Sreekumar', 'Vineetha', 'Prem Kumar']"
Ennu Swantham Janakikutty,"Drama, Fantasy",Add a Plot,T. Hariharan,"['Kumari Joemol', 'Chanchal', 'Anoop', 'Ponnamma Babu']"
Alibabayum Arara Kallanmarum,"Comedy, Drama",The life of a few thieves and the controversies that occur when a sister of one of the thieves gets married to a police officer.,Sathish Mannarkad,"['Shaji', 'Vijayaraghavan', 'Jagadish', 'Kalabhavan Mani', 'Jagathy Sreekumar']"
Mailpeelikkavu,"Romance, Thriller","Manu realizes that he is the reincarnation of Krishnanunni, who was framed and executed for the murder of his lover Kuttimani sixty years ago. He tries to find the truth, along with ...See full summary»",Anil,"['Babu Pisharadi', 'Kunchacko Boban', 'Kumari Joemol', 'Thilakan', 'Anu Anand']"
Sneham,Drama,An old school idealist who lives selflessly for his family struggles with the changing priorities of those around.,Jayaraj,"['Jayaram', 'Kumari Joemol', 'Lena', 'Biju Menon']"
Manthri Maalikayil Manasammatham,"Comedy, Romance",Add a Plot,Ansar Kalabhavan,"['Vishnu', 'Jagathy Sreekumar', 'Harisree Ashokan', 'Meera']"
Meenathil Thalikettu,"Comedy, Drama, Family",22 year old Omanakuttan who is even unable to finish his school ends up marrying a girl whose wedding he went to attend.,Rajan Sankaradi,"['Elias Babu', 'Adoor Bhawani', 'Dileep', 'Meena Ganesh']"
Samantharangal,Drama,"A debate story of a father and Son and their family , Ismail ( Bharat Balachandra Menon ) is a hardworking , sincere and straight forward station master , he likes to lead a simple life , ...See full summary»",Balachandra Menon,"['Rajesh Rajan', 'Saikumar', 'Sukumari']"
Kallu Kondoru Pennu,"Action, Crime, Musical","Sita, a nurse who works hard in the Gulf, goes missing when a war breaks out. Circumstances lead her to adopt a child, which drastically alters her life forever.",Shyamaprasad,"['Vijayshanti', 'Harisree Ashokan', 'Chitra', 'Rajan P. Dev']"
Sundarakilladi,"Comedy, Romance","A man is called up on by the people of a damned village, which is a desert with no water, to dig a well. Little does he know that each one who tried to dig a well has died.",Muralikrishnan T.,"['Dileep', 'Shalini', 'Nedumudi Venu', 'Babu Namboothiri']"
Grama Panchayath,"Comedy, Drama, Romance","A young man tries to break away from his poverty-ridden life as a barber's son and hopes to study further. His father, however, refuses to send him away and threatens to commit suicide.",Ramasimhan,"['Jagadish', 'Kaveri', 'Rajan P. Dev', 'N.F. Varghese']"
Harthal,null,"Watch the full movie, Harthaal, only on Eros Now. Harthaal is a 1998 Indian Malayalam film, directed by Krishnadas. The film stars Vijayraghavan, Madhu, Vani Viswanath,Jagathi, Kalpana and Devan in lead roles.",Krishnadas,"['Vijayaraghavan', 'Madhu', 'Vani Viswanath', 'Jagathy Sreekumar']"
Thattakam,null,"Watch the full movie, Thattakam online, only on Eros Now. Thattakam is a 1998 Indian Malayalam film directed by Ramesh Das and starring Nedumudi Venu and Ranjitha in the lead roles.",Remesh Das,"['Mala Aravindan', 'Jojan', 'Mullanezhi', 'Kaithapram D. Nampoothiri']"
Manjeeradhwani,Romance,"Manjeeradwani is a 1998 Indian Malayalam film, directed by Bharathan. The film stars Sakshi Sivanand, Vineeth, Kaviyoor Ponnamma and Nassar in lead roles. The film had musical score by ...See full summary»",Bharathan,"['Babu Mohan', 'Kallu Chidambaram', 'Kavitha', 'Nagendra Babu']"
Chenapparambile Aanakkariyam,null,Add a Plot,Nisar,"['Sudheesh', 'Jagathy Sreekumar', 'Mukesh', 'Anju Aravind']"
Manthri Kochamma,null,Add a Plot,Rajan Sithara,"['Prem Kumar', 'Kanaka', 'Vijayaraghavan', 'Jagathy Sreekumar']"
Achammakuttiyude Achayan,Comedy,"Achamma, a nurse who works abroad and her husband Achayan, leads a contended life. However, their life changes when Achamma returns to her native village and meets her ex-husband John.",Rajan P. Dev,"['Srividya', 'Harisree Brijesh', 'Chippy']"
Vismayam,"Comedy, Drama","Dinakaran's family is always troubled by his father's rival, Kurup. Hence, Dinakaran plots against Kurup and tries to stop all his atrocities.",Reghunath Paleri,"['Dileep', 'Innocent Vareed Thekkethala', 'K.P.A.C. Lalitha', 'Rajan P. Dev']"
Kaikudunna Nilavu,"Drama, Romance",Mahi and his family shelters Veni after her grandfather's death. He also tries to find Veni's boyfriend who is missing.,Kamal,"['Jayaram', 'Augustine', 'Dileep', 'Bharat Gopy']"
Rektha Sakshikal Zindabad,"Action, Drama","The revolt of two communist childhood friends turned leaders against capitalism, slavery and caste systems.",Venu Nagavalli,"['Mohanlal', 'Suresh Gopi', 'Murali', 'Nedumudi Venu']"
Ilamura Thamburan,Drama,Add a Plot,Hari Kadappanakunnu,"['Manoj K. Jayan', 'Sindhu', 'Thilakan', 'Vijayakumar']"
Sidhartha,"Action, Drama, Mystery","Sidharthan, a young man, resents his father and is not on talking terms with him, which constantly worries his mother. Things take a turn after Hema, a college student, enters Sidharthan's life.",Jomon,"['Mammootty', 'Nedumudi Venu', 'Thilakan', 'Lalu Alex']"
Thirakalkkappuram,null,Add a Plot,Anil Adithyan,"['Mala Aravindan', 'Suresh Gopi', 'Ganesh Kumar', 'Meena']"
Ormacheppu,null,Add a Plot,A.K. Lohithadas,"['Lal', 'Chanchal', 'Dileep', 'Ponnamma Babu']"
Kattathoru Penpoovu,null,Add a Plot,Mohan Kuplari,"['Kavya Madhavan', 'Mammukoya', 'Kalabhavan Mani', 'Murali']"
Aakhosham,null,"Watch the full movie, Aaghosham, only on Eros Now. Aaghosham is a 1998 Indian Malayalam film, directed by T. S. Saji. The film stars Madhu, Manoj K Jayan, Chandni and Narendra Prasad in lead roles.",T.S. Saji,"['Azeez', 'Jagannathan', 'James', 'Manoj K. Jayan']"
Anuragakottaram,"Comedy, Drama","Charles joins hands with Shobharaj to save his sister who is admitted to a hospital. Paulochan, a wealthy businessman, hires them to impress his daughter Anna who wants to become a nun.",Vinayan,"['Dileep', 'Suvalakshmi', 'Jagathy Sreekumar', 'Kalpana']"
Glorya Fernandes from USA,null,Add a Plot,P.G. Viswambharan,"['Babu Antony', 'Anusha', 'Ashokan', 'Idavela Babu']"
Poothiruvathira Raavil,Family,"The film is based on the novelette Njangal Adimakal"", written by the famous malayalam writer Sethu scripted by V R Gopinath. It deals with belief and superstition. Reghu who belongs to an ...See full summary»",V R Gopinath,"['Aliyar', 'Beena Antony', 'Chippy']"
Chitrashalabham,"Comedy, Drama","Sandeep, a doctor, meets Devan, who is a dying patient. He gets inspired by Devan and decides to give him the best in his last few days.",K.B. Madhu,"['Jayaram', 'Biju Menon', 'Devan', 'Kumari Joemol']"
Mangalya Pallakku,"Comedy, Drama","Mukundan, a young man, meets Seethalakshmi and falls in love with her. He is worried when he learns that Raghavan is is also in love with Seethalakshmi and wishes to marry her.",Vinod Roshan,"['Sreenivasan', 'Jagadish', 'Kasthuri Shankar', 'Rajashree']"
Elavamkodu Desam,"Drama, Fantasy","Jathavedan is invited to Elavamkodu Desam, a princely state in pre-independent India, to treat the king's wife. He comes to know that Unikkoman, the wicked king of Elavamkodu Desam, rose to...See full summary»",K.G. George,"['Mammootty', 'Rajeev', 'Thilakan', 'Kushboo']"
Mattupetti Machan,Comedy,"Two competing aristocrats wants to get their respective daughters married to a millionaire, while two con-men make use of the situation. Confusion and chaos ensue.",Jose Thomas,"['Mukesh', 'Baiju', 'Jagathy Sreekumar', 'Oduvil Unnikrishnan']"
Panjaloham,null,"Watch the full movie, Panchaloham, only on Eros Now. Panchaloham is a 1988 Indian Malayalam film, directed by Haridas and produced by Thampi Kannanthanam. The film stars Manoj K Jayan, ...See full summary»",K.K. Haridas,[]
Manthrikumaran,null,"Achuthankutty wants to become a bank manager. While checking into a prospective wedding alliance, he insults the girl's father just because she is a nurse. The girl, Ashwathy, decides to take revenge.",Thulasidas,"['Mukesh', 'Sangeetha', 'Jagadish', 'Jagathy Sreekumar']"
Kulirkattu,Drama,Add a Plot,Sagar,"['Charmila', 'Mala Aravindan']"
Mangamma,null,Add a Plot,T.V. Chandran,"['Jagadish', 'James', 'Revathi', 'M.G. Sasi']"
Meenakshi Kalyanam,"Comedy, Romance","Watch the full movie, Meenakshi Kalyanam, only on Eros Now. Meenakshi Kalyanam is a 1998 Indian Malayalam film, directed by Jose Thomas and produced by Davi Rafel and Prince Rafel. The film...See full summary»",Jose Thomas,"['Mukesh', 'Mohini', 'Jagathy Sreekumar', 'Kalabhavan Navas']"
Dravidan,null,Add a Plot,Mohan Kuplari,"['Vijayaraghavan', 'Rajan P. Dev', 'Vijayakumar', 'Jagathy Sreekumar']"
Kudumba Vaarthakal,null,Add a Plot,Ramasimhan,"['Jagadish', 'Rehana Navas', 'Jagathy Sreekumar', 'Innocent Vareed Thekkethala']"
Kalapam,null,Add a Plot,Baiju Kottarakkara,"['Augustine', 'Rajan P. Dev', 'Manoj K. Jayan']"
Thalolam,null,Add a Plot,Jayaraj,"['Suresh Gopi', 'Murali', 'Sreelakshmi', 'Rehana Navas']"
Oro Viliyum Kathorthu,"Comedy, Drama","Oro Viliyum Kathorthu is a 1988 Indian Malayalam film, directed by V. M. Vinu and Produced by Premkumar Marath. The film stars Mukesh, Suma Kanakala, Sukumari, Kalabhavan Mani and Adoor ...See full summary»",V.M. Vinu,"['Mukesh', 'Suma Kanakala', 'Sukumari', 'Adoor Bhawani']"
Ayushman Bhava,Drama,"When faced with family crisis, Govinda Menon and Suriyan choose to end their lives at a suicide point. However, they decide to find another way to solve their issues.",Suresh Vinu,"['Jayaram', 'Divyaa Unni', 'Mohini', 'Innocent Vareed Thekkethala']"
Nakshathra Tharattu,"Comedy, Drama","Sunil and Hema fall in love and marry, however life throws many unexpected hurdles at them as both are orphans.",K. Shankar,"['Beena Antony', 'Harisree Ashokan', 'Bharathi', 'Kunchacko Boban']"
Magician Mahendralal from Delhi,null,Add a Plot,P.K. Radhakrishnan,"['Jagathy Sreekumar', 'Bobby Kottarakkara', 'Raghu', 'Mala Aravindan']"
Soorya Vanam,null,Add a Plot,Rishikesh,"['Ahana', 'Salim Baba', 'Cochin Hanifa', 'Salim Kumar']"
Janmadinam,Drama,"As a mother waits with her pregnant daughter for the arrival of a grandchild, the story flashes back to the relationships the daughter has had with several men.",Suma Josson,"['Nandita Das', 'Surekha Sikri', 'Murali Nair', 'Nedumudi Venu']"
Guru,"Drama, Fantasy",Situations turn a man who believes in secularism into an extremist. He plots to bomb a monastery where the survivors of a riot take refuge.,Rajiv Anchal,"['Mohanlal', 'Suresh Gopi', 'Madhupal', 'Kaveri']"
Aaram Thamburan,"Action, Drama","Jagannathan, a mafia don in Bombay moves to Kanimangalam village. He wins the love of the locals, but finds trouble with a feudal lord, Appan Thamburan, after he decided to resume a traditional festival banned by Appan.",Shaji Kailas,"['Mohanlal', 'Manju Warrier', 'Narendra Prasad', 'Saikumar']"
Chandralekha,"Comedy, Romance",An unemployed man saves a rich woman and takes her to the hospital where her relatives mistake him as her husband. He plays along as he needs money to repay a loan.,Priyadarshan,"['Mohanlal', 'Sukanya', 'Pooja Batra', 'Sreenivasan']"
Karunyam,Drama,"Satheeshan (Jayaram), son of Gopi (Murali) is unemployed and is unable to find a job despite his best efforts.",A.K. Lohithadas,"['Jayaram', 'Murali', 'Divyaa Unni', 'Janardanan']"
Aniyathi Pravu,"Drama, Romance","Mini and Sudhi elope as their families oppose their relationship. Before getting married, they decide to convince their parents, but fate has other plans.",Fazil,"['Kunchacko Boban', 'Shalini', 'Harisree Ashokan', 'Sudheesh']"
Bhoothakkannadi,Drama,Vidyadharan (Mammootty) is in jail and while working finds a link/hole to the outside world. But his vision is distorted through the eye magnifying lens he uses to view because of his fateful past.,A.K. Lohithadas,"['Mammootty', 'Sreelakshmi', 'Cherthala Lalitha', 'Sindhu Shyam']"
Superman,"Comedy, Thriller",A young man with a tragic past tries to exact revenge by framing the men responsible.,Meccartin,"['Raffi', 'Jayaram', 'Shobana', 'Jagadish', 'Siddique']"
Guru Sishyan,Comedy,Add a Plot,Sasi Shankar,"['Jagadish', 'Kaveri', 'Kalabhavan Mani', 'Jagathy Sreekumar']"
Krishnagudiyil Oru Pranayakalathu,"Comedy, Drama",Meenakshi is confused between the word her father had given to Akhilachandran and her love.,Kamal,"['Jayaram', 'Manju Warrier', 'Biju Menon', 'Balachandra Menon']"
Lelam,"Action, Thriller",Rivalry between two liquor business groups led by Anakkattil family and Kadayadi family in Kerala. Chackochi must fight to retain Anakkattil family's control in the business.,Joshiy,"['Krishna Kumar K.K', 'Suresh Gopi', 'M.G. Soman', 'Siddique', 'Maniyanpilla Raju']"
Varnapakittu,"Action, Drama, Romance","Sunny Palomattam, a successful businessman in Singapore, enjoy his life with his girlfriend Sandra Valookaran. However, he is unaware that Sandra is a spy hired by his business rival Mohammed Ali.",I.V. Sasi,"['Mohanlal', 'Meena', 'Divyaa Unni', 'Jagadish']"
Junior Mandrake,"Comedy, Fantasy","A cursed little statue of a criminal don, which on receiving merrily brings curse to the whole family of the receiver, creates trouble within a family who once possessed deep pockets.",Ramasimhan,"['Jagadish', 'Rajan P. Dev', 'Jagathy Sreekumar', 'Janardanan']"
Anubhoothi,null,"Uthara marries a rich old man to save her family from poverty, but she becomes a widow in a few days. However, her life takes a turn when she meets her ex-boyfriend after many years.",I.V. Sasi,"['Mala Aravindan', 'Rajan P. Dev', 'M.R. Gopakumar', 'Suresh Gopi']"
Moonnu Kodiyum Munnooru Pavanum,"Comedy, Drama","Gopalakrishnan, a bank employee, tries to do his job honestly. However, the manager's greedy nephew Ananthan creates problems.",Balu Kiriyath,"['Jagadish', 'Vinduja Menon', 'Shammi Thilakan', 'Narendra Prasad']"
Churam,"Crime, Drama, Romance","Kunjunni, a blacksmith, and Maya, an orphan, fall in love and get married. But problems start brewing in their lives when a lorry driver tries to misbehave with her.",Bharathan,"['Manoj K. Jayan', 'Divyaa Unni', 'Nedumudi Venu', 'K.P.A.C. Lalitha']"
Bhoopathi,"Action, Drama, Thriller","Williams, a convict in prison, comes to know that it was Hariprasad who killed Lakshmi, his daughter's friend. Enraged, he tries to find out the entire story from Hariprasad.",Joshiy,"['Suresh Gopi', 'Priya Raman', 'Kanaka', 'Thilakan']"
Innalekalillathe,Drama,"Tony, a youngster, has had ill fated marriages in his life and decides to be a bachelor. However, his life takes a turn for the better when he meets Beena.",George Kithu,"['Poornima Indrajith', 'Biju Menon', 'Omana Ouseph', 'Narendra Prasad']"
Oral Mathram,Drama,"A selfish Hareendran rents a house adjacent to the owner's, who lives happily with his three daughters. Hareendran's behavior changes when the owner absconds, leaving his daughters on their own.",Sathyan Anthikad,"['Mammootty', 'Shruti', 'Thilakan', 'Sreenivasan']"
Kaliyattam,Drama,"An adaptation of ""Othello"" set in the south Indian state of Kerala.",Jayaraj,"['Suresh Gopi', 'Lal', 'Manju Warrier', 'Biju Menon']"
Arjunan Pillayum Anchu Makkalum,Comedy,"Four sisters feel neglected since their father is more appreciative of their brother. However, when the old man's only son throws him out, he turns to his daughters for help.",P. Chandrasekhar,"['Innocent Vareed Thekkethala', 'Jagadish', 'Jagathy Sreekumar', 'Harisree Ashokan']"
Kottappurathe Koottukudumbam,"Comedy, Drama","A poor couple get their son married to a woman who is rich because of their ambitions of becoming wealthy. However, when her family spirals into poverty, they cast her out of the house.",Pappan Naripatta,"['Vijayaraghavan', 'Kalabhavan Mani', 'Janardanan', 'Urvashi']"
Kannoor,Thriller,"As comrades get killed and injured in a police firing made illegally to cater to a political leader, they should avenge under the leadership of Kannur based Communist comrade Karivallur Sivankutty.",K.K. Haridas,"['Augustine', 'Geetha', 'Manoj K. Jayan', 'Madhupal']"
Mannadiar Penninu Chenkotta Checkan,Comedy,"Aarcha, an arrogant woman from a wealthy family uses her brothers to control everything around her. Her life takes a turn when a new lawyer arrives in her village.",Anil,"['Babu Pisharadi', 'Mukesh', 'Kanaka', 'Innocent Vareed Thekkethala', 'Cochin Hanifa']"
Five Star Hospital,Drama,"Rafael, a singer, comes to know that he is an adopted child and decides to go in search of his true parents. However, his life takes a turn when he encounters Varma, who wants him dead.",Thaha,"['Vishnu', 'Jagadish', 'Jagathy Sreekumar', 'Mala Aravindan']"
Janathipathyam,"Action, Crime, Mystery","R.D. Nayanar, the former Asst. City Police Commissioner of Trivandrum, comes back to the city after a gap of seven years but not as the police commissioner.",K. Madhu,"['Suresh Gopi', 'Balachandra Menon', 'Urvashi', 'Vani Viswanath']"
Kadhanayakan,"Comedy, Drama","Padmanabhan, a wealthy man, cares for his family but is unaware of the fact that they are only with him for his money. He encounters a difficult situation when his estranged son asks to accept him.",Rajasenan,"['Jayaram', 'Kalamandalam Kesavan', 'Janardanan', 'Divyaa Unni']"
Gangothri,null,"When businessman Mukundan lands in legal trouble, advocate Sharath decides to help him. Sharath must prove that Mukundan has been falsely accused by his enemies.",P. Anil,"['Rajan P. Dev', 'Devan', 'Suresh Gopi', 'Murali']"
Masmaram,"Action, Drama","Darshandas's daughter arrives from the US to help him in his business. William, his rival decides to kill his daughter, but fate takes a different turn.",Thampi Kannanthanam,"['Suresh Gopi', 'Rajan P. Dev', 'Kitty', 'Devan']"
Oru Yathramozhi,Drama,"Govindankutty seeks revenge against his father, who had abandoned his mother to become a rich trader. He comes across a wealthy man and becomes close to him, unaware that he is his father.",Prathap Pothen,"['Mohanlal', 'Shivaji Ganesan', 'Bahadur', 'Bharathi']"
Kalyanappittannu,Comedy,"Jagathi a wedding broker helps two poor men, Dileep and Mukesh marry into a rich family through lies, but ends up blackmailing them for a large brokerage fee in return.",K.K. Haridas,"['Mukesh', 'Priya Raman', 'Dileep', 'Kalabhavan Mani']"
Aattuvela,null,Add a Plot,N.B. Raghunath,"['Anu Anand', 'Elias Babu', 'Baburaj', 'Rajan P. Dev']"
Gajaraja Manthram,"Comedy, Drama","Shankarankutty prevents Ananthan from committing suicide and asks him to take up the job of elephant trainer that was offered to him. Ananthan accepts it, but has some ulterior motives.",Thaha,"['Jagadish', 'Prem Kumar', 'Charmila', 'Anusha']"
Ancharakalyanam,null,"Unnikrishnan, a government employee, struggles to find a suitable bride because of his father who wants to tie the knot for the sixth time despite protests from his other wives.",V.M. Vinu,"['Jagadish', 'Kalabhavan Mani', 'Keerthana', 'Janardanan']"
Poonilamazha,"Comedy, Romance",Add a Plot,Sunil,"['Sarath Babu', 'Kalabhavan Haneef', 'Janardanan', 'Yadu Krishnan']"
Kulam,Drama,"Thampi, a warrior, is awestruck by the beauty of a princess, Subhadra. However, Thampi decides to ruin her life when she disagrees to marry him.",Lenin Rajendran,"['Elias Babu', 'Bhanupriya', 'Suresh Gopi', 'Bharat Gopy']"
