title,genre,description,director,cast
Eravu,"Crime, Thriller",Add a Plot,Fazlin Muhammad,"['Ajil Wilson', 'Namitha Pramod', 'Jaffer Idukki', 'Daniel Balaji', 'Sarjano Khalid']"
Chandranum Policeum,Mystery,Add a Plot,Sreeji Balakrishnan,"['Jayashree Sivadas', 'Sujith Koyickal', 'Jayakrishnan', 'Krishnan Balakrishnan']"
Rangeela,Comedy,Add a Plot,Santhosh Nair,"['Sunny Leone', 'Suraj Venjaramoodu', 'Aju Varghese', 'Salim Kumar']"
Chethi Mandaram Thulasi,Drama,Add a Plot,Jay Janardhan,"['R.S. Vimal', 'Riddhi Kumar', 'Sunny Wayne']"
Ohh.. Cinderella,"Comedy, Drama",Add a Plot,Aju Varghese,"['Anoop Menon', 'Dilsha Prasannan']"
Vivekanandan Viralaanu,null,Add a Plot,Kamal,"['Shine Tom Chacko', 'Johny Antony', 'Maala Parvathi', 'Grace Antony']"
Pulli,null,Add a Plot,Jiju Asokan,"['Indrans', 'Santhosh Keezhattoor', 'Senthil Krishna', 'Dev Mohan']"
Pappa,Thriller,Add a Plot,Unni Mukundan,"['Sreenivasan', 'Saiju Kurup', 'Kalabhavan Shajohn']"
Dear Students,null,Add a Plot,Sandeep Kumar,"['George Philip Roy', 'Nayanthara', 'Nivin Pauly']"
Pathimoonnam Rathri,Thriller,Add a Plot,Maneesh Babu,"['Malavika Menon', 'Shine Tom Chacko', 'Vishnu Unnikrishnan', 'Dain Davis']"
Marathakam,null,Add a Plot,Ansaj Gopi,"['Bibin George', 'Vishnu Unnikrishnan', 'Kalabhavan Shajohn', 'Sanusha']"
Suresh Gopi 251,Thriller,Add a Plot,Rahul Ramachandran,['Suresh Gopi']
Porattu Nadakam,Comedy,"Porattu Nadakam, Which tells the story of a village called Gopalapura in the backdrop of North Malabar. The events unfolding in Gopalapura for 21 days are presented through satire. Art ...See full summary»",Naushad Saffron,"['Siddique', 'Saiju Kurup', 'Dharmajan Bolgatty', 'Ramesh Pisharody', 'Arjun Vijayan']"
Kadhikan,null,Add a Plot,Jayaraj,"['Unni Mukundan', 'Mukesh', 'Gopu Krishnan', 'Krishnanand']"
Iyer in Pakistan,Drama,Add a Plot,Fazal,"['Fahadh Faasil', 'Kochu Preman', 'Sanusha', 'Siddique']"
Njan Kandatha Sir'e,"Comedy, Thriller",Add a Plot,Varun G. Panicker,"['Indrans', 'Alencier Ley Lopez', 'Indrajith Sukumaran', 'Baiju']"
Gauri,"Action, Romance",Add a Plot,Vysakh,['Nivin Pauly']
Philip's,"Drama, Family",Add a Plot,Alfred Kurian Joseph,"['Mukesh', 'Innocent Vareed Thekkethala', 'Navani Devanand', 'Asha Madathil Sreekanth']"
Dvija,Drama,"Justice can often elude even the best of societies, in a world tarnished with injustice of all kinds. In an unjust society, it is one's moral duty to take a stand for the truth and goodness...See full summary»",Aijaz Khan,"['Amala Paul', 'Neeraj Madhav', 'Sruthy Jayan', 'Srikanth K. Vijayan']"
Shekhara Varma Rajavu,Drama,Add a Plot,Anuraj Manohar,['Nivin Pauly']
Disease X: The Zombie Experiment,"Horror, Sci-Fi, Thriller",Add a Plot,Nirmal Baby Varghese,[]
The Third Murder,"Crime, Thriller",Add a Plot,Sunil Ibrahim,"['Indrans', 'Anand Manmadhan', 'Vinay Forrt', 'Saiju Kurup']"
L3,"Action, Thriller",Third installment of the Prithviraj Sukumaran directorial Lucifer series.,Prithviraj Sukumaran,['Mohanlal']
Modha,Thriller,Add a Plot,Francis Shinil George,"['Dileesh Pothan', 'Ranjith Sajeev']"
Qurbaani,Thriller,Add a Plot,Geo V.,"['Shane Nigam', 'Charu Haasan', 'Devika Sanjay']"
Ee Parakkum Thalika 2,Comedy,Add a Plot,Thaha,"['Dileep', 'P. Vasu', 'Salim Kumar', 'Harisree Ashokan']"
Saddam Sivan,Drama,Add a Plot,Joshiy,"['Dileep', 'Hansika Motwani']"
Kundala Puranam,Comedy,Add a Plot,Santhosh Puthukkunnu,['Indrans']
Aap Kaise Ho?,Comedy,Add a Plot,Vinay Jose,"['Aju Varghese', 'Dhyan Sreenivasan', 'Sreenivasan', 'Saiju Kurup']"
Samadhana Pusthakam,Drama,Add a Plot,Raveesh Nath,"['Leona Lishoy', 'Siju Wilson', 'Alexander Prasanth', 'Yohan']"
Pattaapakal,"Comedy, Musical","A string of incidents intertwines two friends, a minister, a gangster, and four small-time criminals.",Saajir Sadaf,"['Johny Antony', 'Geethi Sangeetha', 'S.V. Krishna Shankar', 'Sudhi Koppa']"
